Email,Pickup_code
us1@gmail.com,LCK2CODE012610
us1@gmail.com,LCK2CODE003176
us1@gmail.com,LCK2CODE007887
us1@gmail.com,LCK2CODE007086
us1@gmail.com,LCK2CODE004484
us1@gmail.com,LCK2CODE007770
us1@gmail.com,LCK2CODE006984
us1@gmail.com,LCK2CODE002530
us1@gmail.com,LCK2CODE001284
us1@gmail.com,LCK2CODE007617
us1@gmail.com,LCK2CODE005777
us1@gmail.com,LCK2CODE003934
us1@gmail.com,LCK2CODE001501
us1@gmail.com,LCK2CODE008050
us1@gmail.com,LCK2CODE007100
us1@gmail.com,LCK2CODE009196
us1@gmail.com,LCK2CODE004200
us1@gmail.com,LCK2CODE000906
